,course_code,title,instructor,distros,time,location
552,SPAN0491A-S26,Decolonizing Zombies,Patricia Saldarriaga,"AMR ART, CMP, LNG","2:15pm-3:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Library 201 (LIB 201)
553,STAT0116A-S26,Intro to Statistical Science,Emily Malcolm-White,DED,"8:15am-9:30am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Warner Hall 100 (WNS 100)
554,STAT0118A-S26,Introduction to Data Science,Emily Malcolm-White,DED,"2:15pm-3:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Warner Hall 101 (WNS 101)
555,STAT0118B-S26,Introduction to Data Science,TBD,DED,"8:15am-9:30am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Warner Hall 104 (WNS 104)
556,STAT0201A-S26,Intro to Stat and Data Sci,Meaghan Winder,DED,"11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Warner Hall 105 (WNS 105)
557,STAT0201B-S26,Intro to Stat and Data Sci,Alex Lyford,DED,"12:45pm-2:00pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Warner Hall 100 (WNS 100)
558,STAT0211A-S26,Regression,Meaghan Winder,DED,"12:45pm-2:00pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Warner Hall 105 (WNS 105)
559,STAT0219A-S26,Time Series Analysis,Christian Stratton,DED,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Warner Hall 105 (WNS 105)
560,STAT0310A-S26,"Probability
Please register via MATH 0310A",Becky Tang,DED,"1:10pm-2:00pm on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",Warner Hall 011 (WNS 011)
561,STAT0311A-S26,Statistical Inference,Becky Tang,DED,"11:15am-12:05pm on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",Warner Hall 011 (WNS 011)
562,STAT0410A-S26,"Stochastic Processes
Please register via MATH 0410A",Bill Peterson,DED,"1:10pm-2:00pm on Monday, Wednesday, Friday (Feb 9, 2026 to May 11, 2026)",Warner Hall 105 (WNS 105)
563,STAT0711A-S26,Statistical Consulting,Christian Stratton,DED,"11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Warner Hall 010 (WNS 010)
564,THEA0102A-S26,Acting I: Beginning Acting,Michole Biancosino,ART,"11:15am-12:30pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Mahaney Center for the Arts 232 (MAC 232)
565,THEA0102B-S26,Acting I: Beginning Acting,Olga Sanchez Saltveit,ART,"11:15am-12:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Mahaney Center for the Arts 232 (MAC 232)
566,THEA0113A-S26,Lighting Design I: Beginning,Mark Evancho,ART,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Wright Memorial Theater 205 (WTH 205)
567,THEA0120A-S26,Theatre Production and Design,Summer Jack,,"8:40am-9:30am on Friday (Feb 9, 2026 to May 11, 2026)",Wright Memorial Theater 205 (WTH 205)
568,THEA0129A-S26,Spring Production Studio: Des,Mark Evancho,ART,"1:30pm-4:15pm on Monday, Wednesday (Feb 9, 2026 to May 11, 2026)",Wright Memorial Theater THE (WTH THE)
569,THEA0214A-S26,Directing I: Beginning,Claudio Medeiros,,"2:15pm-3:30pm on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Mahaney Center for the Arts 232 (MAC 232)
570,THEA0218A-S26,Playwriting I: Beginning,TBD,ART CW,"9:45am-11:00am on Tuesday, Thursday (Feb 9, 2026 to May 11, 2026)",Adirondack House CLT (ADK CLT)
